"V1"
"1"	1011
"2"	1012
"3"	1015
"4"	1016
"5"	699
"6"	532
"7"	1018
"8"	315
"9"	3279
"10"	3280
"11"	3282
"12"	1141
"13"	3285
"14"	27
"15"	3288
"16"	3289
"17"	1107
"18"	3290
"19"	5
"20"	422
"21"	704
"22"	46
"23"	3292
"24"	3293
"25"	221
"26"	535
"27"	537
"28"	538
"29"	539
"30"	540
"31"	541
"32"	3294
"33"	2444
"34"	705
"35"	706
"36"	3296
"37"	3298
"38"	3299
"39"	3300
"40"	2445
"41"	707
"42"	423
"43"	1109
"44"	1110
"45"	3303
"46"	3304
"47"	222
"48"	3306
"49"	3307
"50"	524
"51"	525
"52"	560
"53"	3308
"54"	3310
"55"	3311
"56"	1034
"57"	3312
"58"	3314
"59"	3316
"60"	3317
"61"	1036
"62"	2446
"63"	581
"64"	582
"65"	3321
"66"	3322
"67"	3325
"68"	3326
"69"	710
"70"	3327
"71"	1114
"72"	224
"73"	2447
"74"	2448
"75"	3329
"76"	111
"77"	3330
"78"	3331
"79"	3332
"80"	3334
"81"	534
"82"	2450
"83"	1040
"84"	3336
"85"	225
"86"	3337
"87"	3338
"88"	3340
"89"	3341
"90"	3344
"91"	712
"92"	691
"93"	227
"94"	228
"95"	3346
"96"	562
"97"	1117
"98"	547
"99"	585
"100"	535
"101"	693
"102"	695
"103"	713
"104"	714
"105"	716
"106"	2452
"107"	424
"108"	425
"109"	2453
"110"	2454
"111"	441
"112"	442
"113"	443
"114"	31
"115"	139
"116"	549
"117"	550
"118"	193
"119"	194
"120"	3348
"121"	3349
"122"	317
"123"	136
"124"	3351
"125"	426
"126"	1119
"127"	2456
"128"	74
"129"	1145
"130"	3353
"131"	3354
"132"	3355
"133"	555
"134"	33
"135"	196
"136"	229
"137"	2458
"138"	2459
"139"	76
"140"	3357
"141"	198
"142"	419
"143"	122
"144"	2
"145"	721
"146"	199
"147"	3358
"148"	3359
"149"	3360
"150"	3362
"151"	3364
"152"	722
"153"	723
"154"	697
"155"	698
"156"	536
"157"	2461
"158"	558
"159"	3365
"160"	420
"161"	421
"162"	1153
"163"	589
"164"	559
"165"	3366
"166"	3367
"167"	3369
"168"	3371
"169"	1045
"170"	450
"171"	3373
"172"	3374
"173"	2465
"174"	2466
"175"	3376
"176"	3377
"177"	1046
"178"	1123
"179"	561
"180"	563
"181"	564
"182"	143
"183"	3378
